flakkebjerg_id,vcf_name,accession_number,accession_name,data_code,flag,note,region,country,country_whole,yield,maturity_group,MG,seed_coat_colour
138,138A,NGB8158,1312-17-4-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
139,139A,NGB8037,1219-90-1-8,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
140,140A,NGB8166,1312-24-1-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
141,141A,NGB8165,1312-22-10-1,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
142,142A,NGB8085,1296-1-10,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
143,143A,NGB8054,1282-52-23,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
144,144A,NGB8107,1312-13-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
145,145A,NGB8138,1310-13-8-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
146,146A,NGB8040,1236-4-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
147,147A,NGB8045,1268-50-11,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
148,148A,NGB8042,1268-39-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
149,149A,NGB8053,1278-21-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
150,150A,NGB8154,1312-17-3-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
151,151A,NGB8092,1298-6-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
152,152A,NGB8133,1308-9-3-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
153,153A,NGB8088,1296-10-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
154,154A,NGB8100,1308-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
155,155A,NGB8109,1312-16-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
156,156A,NGB8093,1297,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
157,157A,NGB8096,1308-1-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
158,158A,NGB8120,1301-14-9,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
159,159A,NGB8147,1312-16-6-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
160,160A,NGB8108,1312-13-8,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,NA
161,161A,FC30683,NA,CCA,NA,,CAN,Ca,Canada,1.26,0 – MATURITY GROUP 0,0,Br
162,162A,FC32033,Brown Derby No. 1,CCA,NA,,N,Un,Unknown,2.45,0 – MATURITY GROUP 0,0,Br
163,163A,PI68554,345,CCA,NA,,CHI,Ch,China,2.36,I – MATURITY GROUP I,I,Y
164,164A,PI69995,6802,CCA,NA,,CHI,Ch,China,2.62,III – MATURITY GROUP III,III,Y
165,165A,PI70520,8312,CCA,NA,,CHI,Ch,China,2.13,I – MATURITY GROUP I,I,Y
166,166A,PI79587,N251/1261,CCA,NA,,CHI,Ch,China,2.8,III – MATURITY GROUP III,III,Rbr/Br
167,167A,PI79617,N8,CCA,NA,,CHI,Ch,China,2.23,I – MATURITY GROUP I,I,Y
168,168A,PI79710,N140,CCA,NA,,CHI,Ch,China,2.59,III – MATURITY GROUP III,III,Rbr/Br
169,169A,PI79743,N20B,CCA,NA,,CHI,Ch,China,3.03,IV – MATURITY GROUP IV,IV,Lgn/Gr
170,170A,PI79756,N202/2,CCA,NA,,CHI,Ch,China,2.33,II – MATURITY GROUP II,II,Br
171,171A,PI79825,N154,CCA,NA,,CHI,Ch,China,0.88,VI – MATURITY GROUP VI,VI,Y
172,172A,PI79832,N184,CCA,NA,,CHI,Ch,China,2.19,V – MATURITY GROUP V,V,Y
173,173A,PI79861,NA ,CCA,NA,,CHI,Ch,China,1.42,VII – MATURITY GROUP VII,VII,Y
174,174A,PI80466,Okuro maru daizu,CCA,NA,,JAP,Ja,Japan,2.27,V – MATURITY GROUP V,V,Y
175,175A,PI81029,Chuseikurome daizu,CCA,NA,,JAP,Ja,Japan,1.4,VI – MATURITY GROUP VI,VI,Y
176,176A,PI81037,Kurakake Daizu,CCA,NA,,JAP,Ja,Japan,1.07,VI – MATURITY GROUP VI,VI,Y
177,177A,PI81040,Cha Mame,CCA,NA,,JAP,Ja,Japan,1.81,I – MATURITY GROUP I,I,Br
178,178A,PI81041,Kuro Daizu,CCA,NA,,JAP,Ja,Japan,2.62,III – MATURITY GROUP III,III,Y
179,179A,PI81785,Chusei Hadaka,CCA,NA,,JAP,Ja,Japan,1.88,III – MATURITY GROUP III,III,Br
180,180A,PI83836,Zakkon,CCA,NA,,ASI,No,North Korea,1.66,V – MATURITY GROUP V,V,Y
181,181A,PI84686,E-19,CCA,NA,,ASI,No,North Korea,2.45,I – MATURITY GROUP I,I,Y
182,182A,PI86069,Datehadakadaizu,CCA,NA,,JAP,Ja,Japan,2.1,II – MATURITY GROUP II,II,Bl
183,183A,PI86084,Nanbu kuro saya,CCA,NA,,JAP,Ja,Japan,1.45,V – MATURITY GROUP V,V,Y
184,184A,PI86114,Hoten Kuroheso,CCA,NA,,JAP,Ja,Japan,2.68,III – MATURITY GROUP III,III,Y
185,185A,PI86123,Selected Oyachi,CCA,NA,,JAP,Ja,Japan,1.87,III – MATURITY GROUP III,III,Y
